cotacaoCompra,cotacaoVenda,dataHoraCotacao
5.4972,5.4978,2022-01-19 13:05:07.579
5.416,5.4166,2022-01-20 13:04:23.016
5.4395,5.4401,2022-01-21 13:04:25.546
5.4904,5.491,2022-01-24 13:07:27.017
5.4965,5.4971,2022-01-25 13:11:44.196
5.4318,5.4324,2022-01-26 13:04:29.562
5.3806,5.3812,2022-01-27 13:10:49.065
5.3948,5.3954,2022-01-28 13:07:34.130
5.3568,5.3574,2022-01-31 13:07:02.511
5.2804,5.281,2022-02-01 13:11:36.020
5.295,5.2956,2022-02-02 13:08:05.638
5.3019,5.3025,2022-02-03 13:08:37.024
5.3278,5.3284,2022-02-04 13:07:07.273
5.2907,5.2913,2022-02-07 13:08:01.823
5.2693,5.2699,2022-02-08 13:07:58.147
5.2729,5.2735,2022-02-09 13:11:29.304
5.2095,5.2101,2022-02-10 13:08:55.539
5.1981,5.1987,2022-02-11 13:03:38.998
5.21,5.2106,2022-02-14 13:09:33.007
5.1875,5.1881,2022-02-15 13:05:34.033
5.1624,5.163,2022-02-16 13:10:37.566
5.1559,5.1565,2022-02-17 13:12:26.671
5.1333,5.1339,2022-02-18 13:05:57.468
5.0991,5.0997,2022-02-21 13:10:29.470
5.0605,5.0611,2022-02-22 13:09:33.564
5.0137,5.0143,2022-02-23 13:03:32.596
5.1168,5.1174,2022-02-24 13:04:46.054
5.1388,5.1394,2022-02-25 13:10:42.683
5.1341,5.1347,2022-03-02 15:36:09.747
5.0473,5.0479,2022-03-03 13:04:52.092
5.0752,5.0758,2022-03-04 13:09:36.239
5.0573,5.0579,2022-03-07 13:05:57.356
5.0897,5.0903,2022-03-08 13:07:29.790
5.0088,5.0094,2022-03-09 13:06:16.943
5.0507,5.0513,2022-03-10 16:48:39.068
5.0249,5.0255,2022-03-11 13:07:56.436
5.0641,5.0647,2022-03-14 13:03:12.300
5.1308,5.1314,2022-03-15 13:03:52.083
5.1281,5.1287,2022-03-16 13:03:52.732
5.0758,5.0764,2022-03-17 16:48:38.165
5.0405,5.0411,2022-03-18 13:06:29.828
4.966,4.9666,2022-03-21 14:00:57.535
4.9202,4.9208,2022-03-22 14:32:26.024
